Timeslot,Faculty,Student
F 1:00 PM,Faculty8,Student1
F 1:00 PM,Faculty40,Student2
F 1:00 PM,Faculty4,Student3
F 1:00 PM,Faculty9,Student6
F 1:00 PM,Faculty6,Student7
F 1:00 PM,Faculty32,Student8
F 1:00 PM,Faculty5,Student12
F 1:00 PM,Faculty0,Student17
F 1:00 PM,Faculty21,Student19
F 1:00 PM,Faculty42,Student21
F 1:00 PM,Faculty19,Student22
F 1:00 PM,Faculty31,Student26
F 1:00 PM,Faculty18,Student27
F 1:00 PM,Faculty11,Student28
F 1:00 PM,Faculty43,Student33
F 1:00 PM,Faculty39,Student50
F 1:00 PM,Faculty10,Student57
F 1:00 PM,Faculty26,Student59
F 1:00 PM,Faculty23,Student72
F 1:00 PM,Faculty27,Student74
F 1:00 PM,Faculty35,Student75
F 1:00 PM,Faculty3,Student34
F 1:00 PM,Faculty15,Student55
F 1:00 PM,Faculty41,Student4
F 1:00 PM,Faculty13,Student37
F 1:00 PM,Faculty28,Student71
F 1:00 PM,Faculty37,Student39
F 1:30 PM,Faculty2,Student5
F 1:30 PM,Faculty40,Student9
F 1:30 PM,Faculty9,Student11
F 1:30 PM,Faculty32,Student13
F 1:30 PM,Faculty5,Student18
F 1:30 PM,Faculty19,Student23
F 1:30 PM,Faculty6,Student24
F 1:30 PM,Faculty42,Student29
F 1:30 PM,Faculty4,Student31
F 1:30 PM,Faculty18,Student34
F 1:30 PM,Faculty0,Student39
F 1:30 PM,Faculty8,Student43
F 1:30 PM,Faculty11,Student52
F 1:30 PM,Faculty21,Student3
F 1:30 PM,Faculty23,Student6
F 1:30 PM,Faculty39,Student8
F 1:30 PM,Faculty43,Student15
F 1:30 PM,Faculty10,Student17
F 1:30 PM,Faculty41,Student26
F 1:30 PM,Faculty35,Student37
F 1:30 PM,Faculty26,Student44
F 1:30 PM,Faculty15,Student25
F 1:30 PM,Faculty27,Student42
F 1:30 PM,Faculty31,Student59
F 1:30 PM,Faculty3,Student4
F 1:30 PM,Faculty13,Student75
F 1:30 PM,Faculty28,Student0
F 1:30 PM,Faculty37,Student19
F 2:00 PM,Faculty2,Student15
F 2:00 PM,Faculty17,Student16
F 2:00 PM,Faculty9,Student20
F 2:00 PM,Faculty24,Student30
F 2:00 PM,Faculty18,Student35
F 2:00 PM,Faculty5,Student36
F 2:00 PM,Faculty32,Student42
F 2:00 PM,Faculty25,Student44
F 2:00 PM,Faculty7,Student45
F 2:00 PM,Faculty0,Student51
F 2:00 PM,Faculty8,Student55
F 2:00 PM,Faculty4,Student61
F 2:00 PM,Faculty6,Student64
F 2:00 PM,Faculty42,Student70
F 2:00 PM,Faculty11,Student1
F 2:00 PM,Faculty19,Student4
F 2:00 PM,Faculty21,Student9
F 2:00 PM,Faculty40,Student13
F 2:00 PM,Faculty10,Student27
F 2:00 PM,Faculty39,Student32
F 2:00 PM,Faculty29,Student47
F 2:00 PM,Faculty26,Student54
F 2:00 PM,Faculty35,Student57
F 2:00 PM,Faculty43,Student5
F 2:00 PM,Faculty15,Student29
F 2:00 PM,Faculty23,Student52
F 2:00 PM,Faculty31,Student6
F 2:00 PM,Faculty13,Student11
F 2:00 PM,Faculty27,Student50
F 2:00 PM,Faculty3,Student56
F 2:00 PM,Faculty41,Student75
F 2:00 PM,Faculty28,Student2
F 2:30 PM,Faculty9,Student37
F 2:30 PM,Faculty2,Student38
F 2:30 PM,Faculty18,Student40
F 2:30 PM,Faculty24,Student41
F 2:30 PM,Faculty5,Student48
F 2:30 PM,Faculty17,Student63
F 2:30 PM,Faculty4,Student68
F 2:30 PM,Faculty8,Student69
F 2:30 PM,Faculty36,Student76
F 2:30 PM,Faculty19,Student5
F 2:30 PM,Faculty11,Student10
F 2:30 PM,Faculty32,Student11
F 2:30 PM,Faculty25,Student12
F 2:30 PM,Faculty40,Student19
F 2:30 PM,Faculty29,Student30
F 2:30 PM,Faculty21,Student31
F 2:30 PM,Faculty6,Student33
F 2:30 PM,Faculty39,Student42
F 2:30 PM,Faculty0,Student46
F 2:30 PM,Faculty10,Student52
F 2:30 PM,Faculty43,Student7
F 2:30 PM,Faculty35,Student14
F 2:30 PM,Faculty42,Student17
F 2:30 PM,Faculty23,Student20
F 2:30 PM,Faculty3,Student44
F 2:30 PM,Faculty15,Student0
F 2:30 PM,Faculty27,Student9
F 2:30 PM,Faculty41,Student6
F 2:30 PM,Faculty31,Student54
F 2:30 PM,Faculty28,Student21
F 3:00 PM,Faculty24,Student46
F 3:00 PM,Faculty9,Student47
F 3:00 PM,Faculty18,Student54
F 3:00 PM,Faculty2,Student62
F 3:00 PM,Faculty5,Student16
F 3:00 PM,Faculty17,Student18
F 3:00 PM,Faculty11,Student25
F 3:00 PM,Faculty6,Student38
F 3:00 PM,Faculty4,Student39
F 3:00 PM,Faculty0,Student40
F 3:00 PM,Faculty19,Student45
F 3:00 PM,Faculty32,Student50
F 3:00 PM,Faculty39,Student56
F 3:00 PM,Faculty40,Student58
F 3:00 PM,Faculty25,Student59
F 3:00 PM,Faculty36,Student63
F 3:00 PM,Faculty21,Student67
F 3:00 PM,Faculty43,Student22
F 3:00 PM,Faculty42,Student24
F 3:00 PM,Faculty10,Student26
F 3:00 PM,Faculty35,Student35
F 3:00 PM,Faculty29,Student51
F 3:00 PM,Faculty15,Student7
F 3:00 PM,Faculty8,Student17
F 3:00 PM,Faculty31,Student20
F 3:00 PM,Faculty3,Student27
F 3:00 PM,Faculty23,Student44
F 3:00 PM,Faculty27,Student76
F 3:00 PM,Faculty28,Student37
F 3:30 PM,Faculty22,Student4
F 3:30 PM,Faculty18,Student56
F 3:30 PM,Faculty24,Student58
F 3:30 PM,Faculty2,Student71
F 3:30 PM,Faculty7,Student0
F 3:30 PM,Faculty17,Student20
F 3:30 PM,Faculty0,Student41
F 3:30 PM,Faculty11,Student43
F 3:30 PM,Faculty9,Student48
F 3:30 PM,Faculty19,Student64
F 3:30 PM,Faculty36,Student65
F 3:30 PM,Faculty21,Student68
F 3:30 PM,Faculty32,Student69
F 3:30 PM,Faculty39,Student75
F 3:30 PM,Faculty4,Student2
F 3:30 PM,Faculty6,Student15
F 3:30 PM,Faculty10,Student16
F 3:30 PM,Faculty43,Student23
F 3:30 PM,Faculty29,Student46
F 3:30 PM,Faculty8,Student50
F 3:30 PM,Faculty25,Student54
F 3:30 PM,Faculty23,Student63
F 3:30 PM,Faculty5,Student3
F 3:30 PM,Faculty15,Student26
F 3:30 PM,Faculty27,Student51
F 3:30 PM,Faculty35,Student59
F 3:30 PM,Faculty40,Student60
F 3:30 PM,Faculty3,Student9
F 3:30 PM,Faculty42,Student10
F 3:30 PM,Faculty31,Student34
S 9:00 AM,Faculty12,Student0
S 9:00 AM,Faculty22,Student14
S 9:00 AM,Faculty10,Student49
S 9:00 AM,Faculty24,Student60
S 9:00 AM,Faculty18,Student65
S 9:00 AM,Faculty9,Student73
S 9:00 AM,Faculty2,Student77
S 9:00 AM,Faculty7,Student22
S 9:00 AM,Faculty17,Student35
S 9:00 AM,Faculty11,Student53
S 9:00 AM,Faculty0,Student66
S 9:00 AM,Faculty39,Student76
S 9:00 AM,Faculty36,Student6
S 9:00 AM,Faculty21,Student8
S 9:00 AM,Faculty32,Student9
S 9:00 AM,Faculty43,Student38
S 9:00 AM,Faculty6,Student45
S 9:00 AM,Faculty29,Student67
S 9:00 AM,Faculty26,Student16
S 9:00 AM,Faculty23,Student18
S 9:00 AM,Faculty4,Student19
S 9:00 AM,Faculty8,Student47
S 9:00 AM,Faculty19,Student62
S 9:00 AM,Faculty3,Student63
S 9:00 AM,Faculty40,Student69
S 9:00 AM,Faculty41,Student20
S 9:00 AM,Faculty42,Student23
S 9:00 AM,Faculty27,Student37
S 9:00 AM,Faculty15,Student3
S 9:30 AM,Faculty12,Student10
S 9:30 AM,Faculty24,Student66
S 9:30 AM,Faculty2,Student7
S 9:30 AM,Faculty7,Student23
S 9:30 AM,Faculty18,Student36
S 9:30 AM,Faculty8,Student49
S 9:30 AM,Faculty0,Student60
S 9:30 AM,Faculty22,Student62
S 9:30 AM,Faculty31,Student73
S 9:30 AM,Faculty11,Student0
S 9:30 AM,Faculty39,Student11
S 9:30 AM,Faculty17,Student12
